State,County,Tract,Median Household Income,Black Population Percentage
17,031,010100,68196,32.11951447245565
17,031,010201,61071,36.65042630937881
17,031,010202,58698,32.98429319371728
17,031,010300,68336,23.617123617123617
17,031,010400,48630,7.914151576123407
17,031,010501,47858,20.163557372859696
17,031,010502,55813,22.042852949809216
17,031,010503,18750,15.80471659081506
17,031,010600,66313,20.144223232481583
17,031,010701,70542,20.835654596100277
17,031,010702,52193,36.53846153846153
17,031,020100,57029,39.546727782021904
17,031,020200,117005,6.858253505483826
17,031,020301,73539,2.0618556701030926
17,031,020302,84205,9.055950778696404
17,031,020400,76607,19.924812030075188
17,031,020500,43948,15.708696960577791
17,031,020601,61046,2.3006134969325154
17,031,020602,83839,8.85270447314243
17,031,020701,92024,10.648148148148149
17,031,020702,68897,3.5425582501188777
17,031,020801,71953,12.85475792988314
17,031,020802,62212,6.678141135972461
17,031,020901,50243,24.097750445055834
17,031,020902,49432,19.725085910652922
17,031,030101,50696,25.874324708558433
17,031,030102,55067,15.104849279161206
17,031,030103,53684,14.192424902046147
17,031,030104,45865,8.564069542820347
17,031,030200,91406,1.620453727043572
17,031,030300,64662,20.455793520043933
17,031,030400,97143,5.8469170800850465
17,031,030500,109375,6.620428751576292
17,031,030601,51808,25.165738530893663
17,031,030603,54300,23.904555314533624
17,031,030604,49816,17.596713454296474
17,031,030701,47614,36.05036447978794
17,031,030702,69050,3.971756398940865
17,031,030703,56667,16.359521500161655
17,031,030706,54143,14.296754250386398
17,031,030800,96069,4.485363550519358
17,031,030900,102309,4.9414824447334205
17,031,031000,121026,0.8488499452354874
17,031,031100,79010,12.53572886892609
17,031,031200,24389,39.100404312668466
17,031,031300,64598,14.577557274186487
17,031,031400,82526,4.695837780149413
17,031,031501,48889,36.29310344827586
17,031,031502,47188,34.98485504110774
17,031,031700,84766,15.182219316881843
17,031,031800,80873,4.588457899716178
17,031,031900,93864,9.64004964832437
17,031,032100,69313,12.803956587443329
17,031,040100,93576,9.498878085265519
17,031,040201,99624,1.674641148325359
17,031,040202,58293,4.218455743879472
17,031,040300,86979,4.538034606594842
17,031,040401,107083,2.8271640921014285
17,031,040402,94132,3.3398821218074657
